#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,COUNTRY
I,3F034A,Std. Libelle H201b,D-8887,#,Y,Y,Germany
F,D01413,Std. Libelle H201b,D-8887,#,Y,Y,Germany
F,DDC0A5,(unused),(UNUSED),(unused),Y,Y,Unknown
F,DDC0E4,(unused),(UNUSED),(unused),Y,Y,Unknown
F,DF086A,ASK 13,D-0513,-,Y,Y,Germany
F,2001C8,Paraglider,,-,Y,Y,Unknown
I,DF25A8,Antares 20E/21,D-KAJM,-,Y,Y,Germany
F,DF086E,Ka 8b,D-4628,-,Y,Y,Germany
I,4B5A37,Taurus M503,HB-5520,--,Y,Y,Switzerland
I,3E6BF5,Discus bT WL,D-KGBT,--,Y,Y,Germany
F,DDA70F,ASK21,D-2921,--,Y,Y,Germany
F,DDA7AA,ASK23,D-8978,--,Y,Y,Germany
F,AA5BCD,Carat,N767CT,00,Y,Y,United States
I,A9BEE8,Phoenix,N727PX,00,Y,Y,United States
F,DDE39C,DG-100,D-6100,00,Y,Y,Germany
F,DDA976,G103,D-5900,00,Y,Y,Germany
I,A57479,ASH-26 E,N4500E,00,Y,Y,United States
F,DDD9B6,Ka-6,D-6400,00,N,Y,Germany
F,D02654,Blanik L23,S5-7100,00,Y,Y,Unknown
I,4B4CDB,Ventus bT,HB-2100,00,N,Y,Switzerland
F,DD922F,HK36TT Super Dimona,OE-9500,00,Y,Y,Austria
F,DF2318,Glasfluegel 304,D-0300,00,Y,Y,Germany
F,A7FDEC,TG-16,N614DG,002,Y,Y,United States
F,A801A3,TG-16,N615DG,003,Y,Y,United States
F,A8055A,TG-16,N616DG,004,Y,Y,United States
F,A34ADA,TG-16,N717DG,005,Y,Y,United States
I,3FFAF6,Helicopter,N901B,007,Y,Y,United States
F,A99A17,TG-16,N718DG,007,Y,Y,United States
F,DD83DE,Std. Libelle,D-8790,007,Y,Y,Germany
F,DD989C,Duo Discus,D-5707,007,N,Y,Germany
F,49B07F,Nimbus 4DM,OK-5151,007,Y,Y,Czech Republic
I,C00A03,Duo Discus,C-FDUQ,007,Y,Y,Canada
I,DD8AC5,Ventus A,I-LOIS,007,Y,Y,Italy
F,D02930,Duo Discus,D-5707,007,Y,Y,Germany
F,DF033C,Duo Discus,C-FDUO,007,N,Y,Canada
F,A99DCE,TG-16,N719DG,008,Y,Y,United States
F,DDA647,ASW-28,D-7729,01,N,Y,Germany
F,DD9619,DG-500,HB-2201,01,N,Y,Switzerland
F,EF0F01,DJI-Inspire II,WOHA,01,Y,Y,Unknown
I,4B48CC,LS-1 d,HB-1061,01,Y,Y,Switzerland
F,DDA356,ASK-13,D-5701,01,Y,Y,Germany
F,512424,PEGASE,F-CFRA,01,Y,Y,France
F,DDAFAE,Duo Discus,D-4901,01,Y,Y,Germany
F,DDE373,LS-3,D-7367,01,Y,Y,Germany
I,32DA1D,L 13 SEH Vivat,OM-4701,01,Y,Y,Slovakia
F,A053D6,Asw 20,N120BL,01,Y,Y,United States
F,DDFDE5,Pilatus PC11 AF RG,D-7401,01,Y,Y,Germany
F,DDE244,Ka-6,D-9401,01,Y,Y,Germany
F,DDA89F,Grob Twin Astir II,D-XX01,01,Y,Y,Germany
F,DDABB2,Ka-8,OE-5015,015,N,Y,Austria
F,C76C20,PA25,N9101P,01P,Y,Y,United States
I,405380,Ventus 2t,G-VTUS,02,Y,Y,United Kingdom
F,DD9E36,Kestrel,D-2402,02,Y,Y,Germany
F,49BF18,MiniShark,OK-2006,02,Y,Y,Czech Republic
I,4B4E6D,Duo Discus XLT,HB-2502,02,Y,Y,Switzerland
F,D0137D,JS-3 RES,D-KMOJ,02,Y,Y,Germany
F,DD858A,ASW-15,D-0803,03,N,Y,Germany
F,DDA6C8,Ls4a,D-3503,03,Y,Y,Germany
I,3EEB26,Twin 1,D-2703,03,Y,Y,Germany
F,F64497,Sinus,I-6403,03,Y,Y,Italy
F,DDB20C,Ka8,D-4603,03,Y,Y,Germany
F,DD96B6,LS-4,D-9804,04,N,Y,Germany
F,DDAF71,Ka-8,D-9404,04,Y,Y,Germany
F,DDB554,Grob Astir CS,D-7304,04,N,Y,Germany
F,DD9C63,DG-505,D-3904,04,N,Y,Germany
F,DDFDAC,K 7,D-5404,04,Y,Y,Germany
I,2FB1C0,LS6a,D-4604,04,Y,Y,Germany
F,DDA7F1,LS 4 a,D-5104,04,Y,Y,Germany
I,4B51F3,Junior,HB-3404,04,Y,Y,Switzerland
I,ABAA47,Towplane,N8504L,04L,N,Y,United States
F,DDA6B9,DG300,D-5805,05,Y,Y,Germany
F,DDAA4B,Kranich III,D-3205,05,Y,Y,Germany
F,D02635,Blanik L13,S5-7105,05,Y,Y,Unknown
F,DD9CC1,Junior,D-8305,05,N,Y,Germany
F,A02635,Blanik L13,S5-7105,05,Y,Y,Unknown
F,DF2607,Ka 6 CR,D-9405,05,Y,Y,Germany
F,F51157,DG-303,3E451A11,0508910769,Y,Y,Unknown
F,64024D,Paraglider,_GINGE,053,Y,Y,Unknown
