devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
O,24A8C0,SZD-50 Puchacz,SP-3396,-,Y,Y,1,Poland
F,DF25A8,Antares 21 E,D-KAJM,-,Y,Y,1,Germany
I,406C23,Eurostar EV97,G-NILT,-,Y,Y,3,United Kingdom
F,4B4C59,ASK-21,HB-1970,-,Y,Y,1,Switzerland
F,3E6858,RF 5,D-KESE,-,Y,Y,1,Germany
I,910390,ASK-21,HB-1591,-,Y,Y,1,Switzerland
I,910663,ASK-21,HB-1590,-,Y,Y,1,Switzerland
F,DD9B8C,UFO,OK-XXYY,-,Y,Y,6,Czech Republic
F,D02B0E,IS-28B2,HA-5020,--,Y,Y,1,Hungary
I,4B5A37,Taurus,HB-5520,--,Y,Y,1,Switzerland
I,3E6BF5,Discus bT,D-KGBT,--,Y,Y,1,Germany
F,D029D5,ASK-13,OM-1313,--,Y,Y,1,Slovakia
F,D02B10,IS-28B2,HA-5030,--,Y,Y,1,Hungary
F,4057AB,ASG-29E,G-CKSX,0,Y,Y,1,United Kingdom
O,602FE0,Blanik,OK-2300,00,Y,Y,1,Czech Republic
F,DD820F,Kestrel,D-2500,00,Y,Y,1,Germany
F,DD85E4,Libelle Std,D-6900,00,Y,Y,1,Germany
F,4B4CDB,Ventus bT,HB-2100,00,Y,Y,1,Switzerland
F,DD84F7,Ka-6 cr,D-5300,00,Y,Y,1,Germany
I,AA5BCD,Carat,N767CT,00,Y,Y,1,United States
F,0D5200,Twin Astir III,D-5200,00,Y,Y,1,Germany
I,A9BEE8,Phoenix,N727PX,00,Y,Y,3,United States
F,9168F8,UFO,X-FILE,00,Y,Y,6,Unknown
I,A57479,ASH-26 E,N4500E,00,Y,Y,1,United States
F,DDA976,Twin Astir III,D-5900,00,Y,Y,1,Germany
F,DF0A18,Pilatus B4,D-2300,00,Y,Y,1,Germany
O,247C1C,Ka-8,HA-4002,002,Y,Y,1,Hungary
F,DD8AC5,Ventus,I-LOIS,007,Y,Y,1,Italy
F,096052,Hornet,D-MZZN,007,Y,Y,1,Germany
F,49B07F,Nimbus 4DM,OK-5151,007,Y,Y,1,Czech Republic
F,D02930,Duo Discus,D-5707,007,Y,Y,1,Germany
F,DD9A4F,Motorglider,HA-1008,008,Y,Y,1,Hungary
F,DDA2E9,ASK-21,D-5401,01,Y,Y,1,Germany
F,D0090A,ASK-21,D-8601,01,Y,Y,1,Germany
F,043FA4,DJI Mavic,D-ROHNE,01,Y,Y,5,Germany
F,DD8EC5,SF-34,D-4201,01,Y,Y,1,Germany
F,1A009B,DJI Matrice,SAR-UAV,01,Y,Y,5,Unknown
F,DDE373,LS-3,D-7367,01,Y,Y,1,Germany
F,DD9145,FM250 Vampire,OK-SUL01,01,Y,Y,3,Czech Republic
O,401B5C,Blanik,RF-67728,01,Y,Y,1,Russia
F,DDAE6B,DG-100,D-1701,01,Y,Y,1,Germany
F,DDFDE5,Pilatus B4,D-7401,01,Y,Y,1,Germany
O,3E9E31,SZD-48-3 Jantar Std 3,LY-GCM,01,Y,Y,1,Lithuania
I,4B48CC,LS-1 d,HB-1061,01,Y,Y,1,Switzerland
F,512424,Pegase,F-CFRA,01,Y,Y,1,France
F,DDBE88,Discus t,OY-XZH,01,Y,Y,1,Denmark
F,D014AF,ASK-21,I-IVWE,01,Y,Y,1,Italy
O,24E25C,SZD-9 Bocian,SP-3101,01,Y,Y,1,Poland
F,DF0D67,Discus 2c,D-4301,01,Y,Y,1,Germany
F,DDDFCF,Duo Discus,D-4901,01,Y,Y,1,Germany
F,DD9DC7,ASK-21,D-2201,01,Y,Y,1,Germany
F,DDE244,Ka-6 cr,D-9401,01,Y,Y,1,Germany
F,DDAFAE,Duo Discus,D-4901,01,Y,Y,1,Germany
F,1A00E9,DJI Matrice,F-WKO,01,Y,Y,5,France
F,DDA89F,Twin Astir II,D-XX01,01,Y,Y,1,Germany
F,484B5E,Ventus 2cxT,OY-XCH,01,Y,Y,1,Denmark
I,505D5A,WT9 Dynamic,OM-S013,013,Y,Y,3,Slovakia
I,484C71,ASK-13,PH-1013,013,Y,Y,1,Netherlands
O,38FA00,Balloon,B-AL016,016,Y,Y,6,China
O,C76C20,PA-25 Pawnee,N9701P,01P,Y,Y,2,United States
F,DDA6EF,Mosquito,D-9002,02,Y,Y,1,Germany
F,0441A0,DJI Matrice,SAR-UAV,02,Y,Y,5,Unknown
I,405380,Ventus 2t,G-VTUS,02,Y,Y,1,United Kingdom
F,D0137D,JS-3 18M RES,D-KMOJ,02,Y,Y,1,Germany
O,253B4A,Blanik,OM-6802,02,Y,Y,1,Slovakia
F,49BF18,HPH 304CZ-17,OK-2006,02,Y,Y,1,Czech Republic
O,3DCC09,Blanik,OK-3702,02,Y,Y,1,Czech Republic
F,D01528,ASK-21,I-PAIS,02,Y,Y,1,Italy
F,D00276,ASH-25,D-7502,02,Y,Y,1,Germany
F,DD8249,LS-4,D-3502,02,Y,Y,1,Germany
O,247F40,Ka-8,HA-4021,021,Y,Y,1,Hungary
O,DEBADA,SZD-22 Mucha Standard,SP-2003,03,Y,Y,1,Poland
F,DDB20C,Ka-8,D-4603,03,Y,Y,1,Germany
F,412C3C,DJI Matrice,SAR-UAV,03,Y,Y,5,Unknown
F,D01480,DG-505,I-IVSA,03,Y,Y,1,Italy
F,DDA6C8,LS-4,D-3503,03,Y,Y,1,Germany
F,DD8349,Blanik,OM-9203,03,Y,Y,1,Slovakia
F,DDB048,Cirrus 18m,D-5203,03,Y,Y,1,Germany
I,3EEB26,Twin Astir I,D-2703,03,Y,Y,1,Germany
F,D024CF,H36 Dimona,OH-795,037,Y,Y,1,Unknown
I,465BDD,RF 5,OH-1037,037,Y,Y,1,Unknown
O,26B8C3,SGS 1-26,N771SY,039,Y,Y,1,United States
F,DD9FEE,Std. Astir II,D-4804,04,Y,Y,1,Germany
F,DDEAF6,LS-4,D-9804,04,Y,Y,1,Germany
F,044138,DJI Matrice,SAR-UAV,04,Y,Y,5,Unknown
F,4AD5ED,Cirrus,OK-3113,04,Y,Y,1,Czech Republic
F,DDA7F1,LS-4,D-5104,04,Y,Y,1,Germany
F,4B51F3,SZD-51 Junior,HB-3404,04,Y,Y,1,Switzerland
F,DD9487,Pilatus B4,D-4904,04,Y,Y,1,Germany
I,ABAA47,PA-25 Pawnee,N8504L,04L,Y,Y,2,United States
F,DD83AC,Blanik,OM-9205,05,Y,Y,1,Slovakia
O,20E97D,Blanik,OK-8205,05,Y,Y,1,Czech Republic
I,4B4D44,H36 Dimona,HB-2205,05,Y,Y,1,Switzerland
F,F65308,Ka-6 cr,D-9405,05,Y,Y,1,Germany
I,3F0108,SZD-51 Junior,D-8305,05,Y,Y,1,Germany
F,DF2607,Ka-6 cr,D-9405,05,Y,Y,1,Germany
O,604020,VT-116 Orlik II,OK-8405,05,Y,Y,1,Czech Republic
O,978C94,PA-25 Pawnee,LV-BTL,05,Y,Y,2,Argentina
F,0441E4,DJI Matrice,SAR-UAV,05,Y,Y,5,Unknown
F,DD9A54,ASW-20,F-CBDN,05,Y,Y,1,France
F,DDAA4B,Kranich III,D-3205,05,Y,Y,1,Germany
F,DDA6B9,DG-300,D-5805,05,Y,Y,1,Germany
I,505E2F,EuroFox,OM-S053,053,Y,Y,3,Slovakia
F,DD8909,SF-27,D-4053,053,Y,Y,1,Germany
O,BA148F,SGS 1-26,N3886A,053,Y,Y,1,United States
F,B202D8,Cessna 150,N4205U,05U,Y,Y,2,United States
I,4B4E0D,Antares 20 E,HB-2406,06,Y,Y,1,Switzerland
F,DD8331,ASK-13,D-0806,06,Y,Y,1,Germany
F,DD835D,SZD-51 Junior,D-2806,06,Y,Y,1,Germany
F,D00E9B,DG-1001 M,OE-9506,06,Y,Y,1,Austria
I,A79BC7,ASW-20,N59HK,06,Y,Y,1,United States
I,CCD8D3,Astir CS,D-4206,06,Y,Y,1,Germany
F,DDA800,Blanik,OK-1806,06,Y,Y,1,Czech Republic
F,DDC01A,Ka-6 cr,D-4706,06,Y,Y,1,Germany
O,05DB23,Blanik,OK-6706,06,Y,Y,1,Czech Republic
F,DD85B3,Ka-8,D-0306,06,Y,Y,1,Germany
F,3D3F85,PZL-104 Wilga,D-EWHP,06,Y,Y,2,Germany
F,DD4F85,ASK-21,D-9906,06,Y,Y,1,Germany
O,82F50F,SGS 1-26,N1106S,06S,Y,Y,1,United States
O,1D6FE4,PA-25 Pawnee,N4606Y,06Y,Y,Y,2,United States
O,8D6FE4,PA-25 Pawnee,N4606Y,06Y,Y,Y,2,United States
F,DD8F33,Bergfalke III,D-9307,07,Y,Y,1,Germany
F,F71527,LS-3,D-7907,07,Y,Y,1,Germany
F,DD9473,LS-4,ZS-GOG,07,Y,Y,1,South Africa
O,0A3210,L 13 SEH Vivat,OM-6107,07,Y,Y,1,Slovakia
F,DD850A,Blanik,OM-2707,07,Y,Y,1,Slovakia
F,DDD4A7,Grunau Baby,D-1107,07,Y,Y,1,Germany
F,DDAF1B,TST-10,OK-A707,07,Y,Y,1,Czech Republic
O,C9EE5F,SZD-9 Bocian,SP-3107,07,Y,Y,1,Poland
F,DD993C,Ka-8,D-1307,07,Y,Y,1,Germany
F,505EDE,WT9 Dynamic,OM-S076,076,Y,Y,3,Slovakia
F,8E8FA0,SGS 1-26,N1107S,07S,Y,Y,1,United States
F,DDBAB1,Astir CS-77,D-4808,08,Y,Y,1,Germany
I,3EE3B7,LS-4,D-0800,08,Y,Y,1,Germany
F,DDACC7,Twin Astir II,D-6908,08,Y,Y,1,Germany
O,1EEA78,SZD-50 Puchacz,SP-3408,08,Y,Y,1,Poland
F,DDA739,Twin Astir III,D-5208,08,Y,Y,1,Germany
F,DF13BE,DG-1000,D-0801,08,Y,Y,1,Germany
F,DDA6E2,SZD-50 Puchacz,D-6608,08,Y,Y,1,Germany
F,DD988E,LS-4,D-0800,08,Y,Y,1,Germany
F,DD9FBD,Ka-8,D-4608,08,Y,Y,1,Germany
F,DDE315,Ka-8,D-5308,08,Y,Y,1,Germany
O,2491F4,SZD-50 Puchacz,SP-3408,08,Y,Y,1,Poland
F,D0101A,miniLAK FES,F-CKAM,08,Y,Y,1,France
F,DDC450,Ka-6 e,D-9408,08,Y,Y,1,Germany
I,4B51E4,LS-8 18,HB-3389,08,Y,Y,1,Switzerland
F,DD8496,ASK-21,D-4708,08,Y,Y,1,Germany
I,44045F,SF-25,OE-9508,08,Y,Y,1,Austria
F,DDD9C3,Grob G109,HB-2083,083,Y,Y,1,Switzerland
I,4B4CCA,Grob G109,HB-2083,083,Y,Y,1,Switzerland
F,3FF32D,Pipistrel Virus,D-MIVP,087,Y,Y,3,Germany
F,DDFA2B,SZD-9 Bocian,D-3409,09,Y,Y,1,Germany
F,DDFE06,Twin Astir II,D-6909,09,Y,Y,1,Germany
F,D00539,ASK-21,D-7209,09,Y,Y,1,Germany
F,DD865A,Ka-2,D-1409,09,Y,Y,1,Germany
F,DDA560,ASW-24,D-8909,09,Y,Y,1,Germany
F,DDB1CC,Pegase,F-CFRF,09,Y,Y,1,France
F,DD4F2C,Blanik,S-7109,09,Y,Y,1,Unknown
F,D02A44,ASK-21,D-4709,09,Y,Y,1,Germany
I,AB348D,PA-18 Super Cub,N82096,096,Y,Y,2,United States
I,A468CB,SGS 1-26,N3830A,097,Y,Y,1,United States
I,505F50,Viper SD-4,OM-M099,099,Y,Y,2,Slovakia
I,ADAEC5,PA-25 Pawnee,N9809P,09P,Y,Y,2,United States
F,87892C,ASK-21,N120DW,0DW,Y,Y,1,United States
I,A4CE44,Discus,N409CB,0F,Y,Y,1,United States
I,A4AD52,Discus,N400HB,0HB,Y,Y,1,United States
F,AC200C,Stemme S-10,N880YS,0YS,Y,Y,1,United States
I,4B4203,Vans RV-8,HB-YZZ,1,Y,Y,2,Switzerland
