devices/device_type,devices/device_id,devices/aircraft_model,devices/registration,devices/cn,devices/tracked,devices/identified,devices/aircraft_type
F,000000,SZD-41 Jantar Std,HA-4403,J,Y,Y,1
O,000001,Drone/UAV,aerobot,,Y,Y,5
F,000002,LS-6 18,OY-XRG,G2,Y,Y,1
F,000010,Unknown,D-EEAC,AC,Y,Y,6
F,000011,Skylane Airlony,D-MTEW,EW,Y,Y,3
F,000013,PA-28,D-EZIP,IP,Y,Y,2
O,000015,Paraglider,36445,,Y,Y,6
F,000037,,,,Y,N,6
F,000040,Paraglider,,,Y,Y,6
F,000063,,,,Y,N,1
F,0000FD,Taurus,F-JRDN,DN,Y,Y,1
O,000111,Parachute,I---AM,AM,Y,Y,6
O,000112,Motorplane,,,Y,Y,2
F,000114,,,,N,N,2
O,000115,Ultralight,D-MDAJ,,Y,Y,3
F,000140,VANS RV-7,F-PVGD,,Y,Y,2
F,000150,Ultralight,D-MSKX,,Y,Y,3
F,000176,Balloon,MCH-1,,Y,Y,6
O,000184,Paraglider,,,Y,Y,6
F,000203,Drone/UAV,SRZ2000,,Y,Y,5
F,000207,Drone/UAV,SRZ1000,,Y,Y,5
F,000215,Drone/UAV,AIRTEC,ATS,Y,Y,5
F,000229,Ventus 2t,OY-XPH,RA,Y,Y,1
F,000246,Apis 2,S5-NBQ,BQ,Y,Y,1
F,000256,ASK-16,D-KGOR,OR,Y,Y,1
F,000262,SZD-59 Acro,D-8059,8E,Y,Y,1
O,000284,Paraglider,,,Y,Y,6
F,000296,Unknown,D-IEST,,Y,Y,6
F,000317,Discus,OY-XOK,X9,Y,Y,1
F,000338,Unknown,,,Y,Y,6
O,000343,Paraglider,Thomas,,Y,Y,6
F,000350,ASG-29,N29XD,XD,Y,Y,1
F,000368,PIK-20 B,C-GORE,GP,Y,Y,1
F,000414,Paraglider,,,Y,Y,6
F,000423,Discus,N18MG,2,Y,Y,1
F,000451,ASG-29,N232FG,FG,Y,Y,1
F,000468,DG-808 B,N818MB,XI,Y,Y,1
F,000477,ASW-27,N273SP,TR,Y,Y,1
F,000503,SZD-48-1 Jantar Std 2,SP-3152,DG,Y,Y,1
F,000514,,,,Y,N,1
O,000555,Drone/UAV,CSKYFLY,73,Y,Y,5
F,000557,,,,Y,N,5
F,000597,LS-6,D-8997,IV,Y,Y,1
F,000617,ASW-20,OE-5292,A2,Y,Y,1
F,000643,DJI Mavic,,,Y,Y,5
F,000654,Apis 2,G CJDL,DL,Y,Y,1
F,000673,Ventus ct,G-CFMN,FMN,Y,Y,1
F,000683,Glasflugel 304S,N468TJ,96S,Y,Y,1
F,000684,Ultralight,D-MEMO,,Y,Y,3
