#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','000256','ASK 16','D-KGOR','OR','Y','Y'
'F','000339','Arcus M','D-KKKY','C','Y','Y'
'F','000384','LS8-15','N8SN','SN','Y','Y'
'F','000634','HK36 Super Dimona','D-KLML','','Y','Y'
'F','000689','HPH 304C Wasp','N000304GT','1M','Y','Y'
'F','000756','Discus 2C FES','N1235','D3','Y','Y'
'F','000958','szd-55-1','C-GOED','TJ','Y','Y'
'F','000991','Motorglider','N135GS','AV8','Y','Y'
'F','001617','Jodel D140C','F-PVGG','','Y','Y'
'F','002068','Piper J3','HB-OXL','','Y','Y'
'F','002071','JS1B','ZS-GCT','EG','Y','Y'
'F','002446','Helicopter','I-BCAR','','Y','Y'
'F','002484','Phoenix U15','N42EW','EW','Y','Y'
'F','002486','JS 3','VHJKB','JB','Y','Y'
'F','002588','DG400','D-KEGR','GR','Y','Y'
'F','002747','ASW-19','N842CC','42','Y','Y'
'F','003187','ASG-32 MI','D-KWMH','MH','Y','Y'
'F','003536','ASW 22','D-KGKG','','Y','Y'
'F','003EB8','DG800B','D-KNKJ','DG','Y','Y'
'F','004481','ASW-20B','N112JL','10','Y','Y'
'F','004519','Kestrel 19','C-FFKQ','42','Y','Y'
'F','004858','Ventus 2Ct','PH1308','NU','Y','Y'
'F','004964','ASG29ES','N293QV','UH','Y','Y'
'F','004972','Ventus ct','G-NJET','JET','Y','Y'
'F','0053D1','Glider','G-LYDA','MG','Y','Y'
'F','005476','D140 Jodel','F-BOPA','none','Y','Y'
'F','006083','Glider','LV-DNR','SM','Y','Y'
'F','006266','Cirrus Std','G-CHNM','131','Y','Y'
'F','006271','Arcus M','D-KEXS','XS','Y','Y'
'F','006374','ASW-20C','OY-XPE','PE','Y','Y'
'F','0065AB','Aerospool WT9 Dynamic','D-MXMI','MI','Y','Y'
'F','0081E2','JS1b Revelation','ZS-GCE','B5','Y','Y'
'F','0085D1','JS1c','ZS GBR','ZB','Y','Y'
'F','00901A','JS1c','ZS-GBX','BJ','Y','Y'
'F','009025','JS-1Btj','ZS-GCI','JS','Y','Y'
'F','009030','JS1B','ZS-GCT','EG','Y','Y'
'F','009049','JS-1 Revelation','ZS-GDS','BB','Y','Y'
'F','0095DF','DG800B','ZTGAE','YH','Y','Y'
